id,name,artist,popularity,preview_url,genre
6AI3ezQ4o3HUoP6Dhudph3,Not Like Us,Kendrick Lamar,96,,rap
3GCdLUSnKSMJhs4Tj6CV3s,All The Stars (with SZA),Kendrick Lamar,94,,rap
7KA4W4McWYRpgf0fWsJZWB,See You Again (feat. Kali Uchis),"Tyler, The Creator",91,,rap
0eaVIYo2zeOaGJeqZ5TwYz,No Pole,Don Toliver,88,,rap
2tudvzsrR56uom6smgOcSf,Like That,Future,87,,rap
7KXjTSCq5nL1LoYtL7XAwS,HUMBLE.,Kendrick Lamar,89,,rap
2HbKqm4o0w5wEeEFXm2sD4,Money Trees,Kendrick Lamar,82,,rap
4iZ4pt7kvcaH6Yo8UoZ4s2,Snooze,SZA,88,,rap
3ESSGgWzRf1xvP7G5hHMhB,Again,Fetty Wap,82,,rap
5IZXB5IKAD2qlvTPJYDCFB,I Had Some Help (Feat. Morgan Wallen),Post Malone,84,,rap
2FQrifJ1N335Ljm3TjTVVf,A Bar Song (Tipsy),Shaboozey,86,,rap
68Dni7IE4VyPkTOH9mRWHr,No Role Modelz,J. Cole,86,,rap
6PGoSes0D9eUDeeAafB2As,LOVE. FEAT. ZACARI.,Kendrick Lamar,85,,rap
3pXF1nA74528Edde4of9CC,Don't,Bryson Tiller,84,,rap
0SA0mMXWh23raZ6xzOCU2V,She,"Tyler, The Creator",78,,rap
3FjK86616FbluOfTxNK2gY,ANXIETY (feat. Doechii),Sleepy Hallow,88,,rap
6IZvVAP7VPPnsGX6bvgkqg,PRIDE.,Kendrick Lamar,85,,rap
5hVghJ4KaYES3BFUATCYn0,EARFQUAKE,"Tyler, The Creator",83,,rap
3iVcZ5G6tvkXZkZKlMpIUs,Alright,Kendrick Lamar,83,,rap
3QFInJAm9eyaho5vBzxInN,family ties (with Kendrick Lamar),Baby Keem,83,,rap
2XHzzp1j4IfTNp1FTn7YFg,Love Me,Lil Wayne,85,,rap
3azJifCSqg9fRij2yKIbWz,The Color Violet,Tory Lanez,85,,rap
1Qrg8KqiBpW07V7PNxwwwL,Kill Bill,SZA,86,,rap
28drn6tQo95MRvO0jQEo5C,Type Shit,Future,85,,rap
2d8JP84HNLKhmd6IYOoupQ,Trap Queen,Fetty Wap,81,,rap
76Ku9OBFK1NjMylR8r4WLK,Gang Baby,NLE Choppa,82,,rap
4EWCNWgDS8707fNSZ1oaA5,Heartless,Kanye West,84,,rap
2fXwCWkh6YG5zU1IyvQrbs,Broken Clocks,SZA,82,,rap
7FAFkQQZFeNwOFzTrSDFIh,The Spins,Mac Miller,83,,rap
4PMqSO5qyjpvzhlLI5GnID,Good Days,SZA,83,,rap
6LxSe8YmdPxy095Ux6znaQ,Headlines,Drake,81,,rap
5TRPicyLGbAF2LGBFbHGvO,Flashing Lights,Kanye West,85,,rap
3ZaEs1O8BG581qYPHpQ8d6,I Smoked Away My Brain (I'm God x Demons Mashup) (feat. Imogen Heap & Clams Casino),A$AP Rocky,84,,rap
5rb9QrpfcKFHM1EUbSIurX,Yeah! (feat. Lil Jon & Ludacris),USHER,85,,rap
2c7z5oRcPBbqRaBY2mLWcf,NEW DROP,Don Toliver,84,,rap
2aPTvyE09vUCRwVvj0I8WK,Sundress,A$AP Rocky,83,,rap
2hnMS47jN0etwvFPzYk11f,Santeria,Sublime,80,,rap
12VH4g5pTMZmrUVzfJq7F7,M a k e I t T o T h e M o r n i n g,PARTYNEXTDOOR,84,,rap
285pBltuF7vW8TeWk8hdRR,Lucid Dreams,Juice WRLD,85,,rap
5fZJQrFKWQLb7FpJXZ1g7K,A Bar Song (Tipsy),Shaboozey,83,,rap
5fEB6ZmVkg63GZg9qO86jh,Break from Toronto,PARTYNEXTDOOR,83,,rap
7EiZI6JVHllARrX9PUvAdX,Low Life (feat. The Weeknd),Future,84,,rap
59nOXPmaKlBfGMDeOVGrIK,WAIT FOR U (feat. Drake & Tems),Future,83,,rap
4Na2HfNSr58chvfX69fy36,one of wun,Gunna,83,,rap
7fEoXCZTZFosUFvFQg1BmW,Took Her To The O,King Von,81,,rap
4VXIryQMWpIdGgYR4TrjT1,All Girls Are The Same,Juice WRLD,84,,rap
7221xIgOnuakPdLqT0F3nP,I Had Some Help (Feat. Morgan Wallen),Post Malone,83,,rap
21jGcNKet2qwijlDFuPiPb,Circles,Post Malone,85,,rap
43PuMrRfbyyuz4QpZ3oAwN,Exchange,Bryson Tiller,81,,rap
5rgrBsAFYMun6yhtnLKRPz,Right My Wrongs,Bryson Tiller,81,,rap
